"full_name","name","sats","diameter","rot_per","diameter_sigma","epoch","e","a","i","om","w","ma","n","per"
"163693 Atira (2003 CP20)",Atira,1,,3.398,,2461200.5,0.3222,0.741,25.62,103.87,252.93,346.32,1.545,233
"164294 (2004 XZ130)",,0,,,,2461200.5,0.4544,0.6176,2.95,211.13,5.46,272.86,2.031,177
"413563 (2005 TG45)",,0,,1.3862,,2461200.5,0.3723,0.6813,23.33,273.41,230.43,124.57,1.752,205
"418265 (2008 EA32)",,0,,,,2461200.5,0.3050,0.6159,28.26,100.94,181.87,140.23,2.039,177
"434326 (2004 JG6)",,0,,,,2461200.5,0.5311,0.6352,18.94,37.01,353.01,64.98,1.947,185
"481817 (2008 UL90)",,0,,,,2461200.5,0.3799,0.695,24.31,81.12,183.66,303.05,1.701,212
"594913 'Aylo'chaxnim (2020 AV2)",'Aylo'chaxnim,0,,,,2461200.5,0.1773,0.5553,15.87,6.68,187.40,61.03,2.382,151
"613676 (2006 WE4)",,0,,,,2461200.5,0.1830,0.7847,24.77,310.99,318.61,239.57,1.418,254
"678861 (2017 YH)",,0,,3.8896,,2461200.5,0.4822,0.6346,19.85,134.14,147.53,101.15,1.95,185
"       (1998 DK36)",,0,,,,2450868.5,0.4160,0.6923,2.02,151.46,180.04,183.25,1.711,210
"       (2010 XB11)",,0,,,,2461200.5,0.5339,0.6181,29.88,96.29,202.51,103.67,2.028,177
"       (2012 VE46)",,0,,,,2461200.5,0.3612,0.713,6.67,8.64,190.62,43.74,1.637,220
"       (2013 JX28)",,0,,,,2461200.5,0.5641,0.6008,10.76,39.92,354.91,200.23,2.117,170
"       (2013 TQ5)",,0,,,,2461200.5,0.1557,0.7737,16.40,286.73,247.22,46.51,1.448,249
"       (2014 FO47)",,0,,,,2461200.5,0.2711,0.7522,19.20,358.62,347.46,91.65,1.511,238
"       (2015 DR215)",,0,,,,2461200.5,0.4715,0.6666,4.06,314.56,42.70,91.82,1.811,199
"       (2017 XA1)",,0,,,,2461200.5,0.2016,0.8095,17.18,239.62,327.61,104.37,1.353,266
"       (2018 JB3)",,0,,,,2461200.5,0.2904,0.6832,40.39,106.41,355.26,230.46,1.745,206
"       (2019 AQ3)",,0,,,,2461200.5,0.3144,0.5886,47.22,64.48,163.17,32.53,2.183,165
"       (2019 LF6)",,0,,,,2461200.5,0.4293,0.5554,29.50,179.02,213.79,185.87,2.381,151
"       (2020 HA10)",,0,,,,2461200.5,0.1552,0.8197,49.65,103.41,26.71,201.15,1.328,271
"       (2020 OV1)",,0,,,,2461200.5,0.2541,0.6376,32.58,296.01,189.83,50.01,1.936,186
"       (2021 BS1)",,0,,,,2461200.5,0.3376,0.5984,31.73,27.67,332.67,353.20,2.129,169
"       (2021 LJ4)",,0,,,,2461200.5,0.3820,0.6764,9.82,277.54,56.65,269.15,1.772,203
"       (2021 PB2)",,0,,,,2461200.5,0.1500,0.7175,24.83,234.97,278.31,192.19,1.622,222
"       (2021 PH27)",,0,,,,2461200.5,0.7115,0.4618,31.94,39.39,8.58,316.68,3.141,115
"       (2021 VR3)",,0,,,,2461200.5,0.4138,0.5339,18.07,129.03,134.43,95.67,2.526,143
"       (2022 BJ8)",,0,,,,2461200.5,0.2486,0.7854,15.83,95.82,293.95,207.54,1.416,254
"       (2023 EL)",,0,,,,2461200.5,0.2462,0.7714,13.88,263.37,142.58,358.61,1.455,247
"       (2023 EY2)",,0,,,,2461200.5,0.3399,0.6036,35.47,95.96,205.86,157.82,2.102,171
"       (2023 KQ5)",,0,,,,2461200.5,0.0771,0.8722,67.43,215.67,219.19,63.20,1.21,298
"       (2023 WK3)",,0,,,,2461200.5,0.4997,0.6442,24.47,235.04,11.17,154.39,1.906,189
"       (2024 UM9)",,0,,,,2461200.5,0.0673,0.8609,21.17,252.67,317.10,205.55,1.234,292
"       (2024 WD19)",,0,,,,2461200.5,0.1579,0.6795,3.79,51.41,263.73,46.69,1.76,205
"       (2025 GN1)",,0,,,,2461200.5,0.7051,0.462,32.83,41.01,6.11,106.96,3.139,115
"       (2025 LP)",,0,,,,2461200.5,0.1624,0.7437,33.34,324.21,327.92,128.12,1.537,234
"       (2025 SC79)",,0,,,,2460950.5,0.4499,0.4958,16.77,151.51,2.90,201.12,2.823,128
"       (2026 BX4)",,0,,,,2461200.5,0.1229,0.8741,19.98,328.07,341.56,339.30,1.206,298
