name,parent,category,a_au,a_km,e,i_deg,w_deg,node_deg,m_deg,period_days,mass_10_24_kg,radius_km,pole_ra_deg,pole_dec_deg,pole_ra_rate_deg_per_cy,pole_dec_rate_deg_per_cy,pm_w_deg,pm_w_rate_deg_per_day,symbol
MOON,EARTH,MOON,,384400,0.0554,5.16,318.15,125.08,135.27,27.322,,1737.4,269.9949,66.5392,0.0031,0.013,38.3213,13.17635815,○
PHOBOS,MARS,MOON,,9375,0.015,1.1,216.3,169.2,189.7,0.3187,,11.08,317.67071657,52.88627266,-0.10844326,-0.06134706,35.1877444,1128.84475928,○
DEIMOS,MARS,MOON,,23457,0,1.8,0,54.3,205,1.2625,,6.2,316.65705808,53.50992033,-0.10518014,-0.05979094,79.39932954,285.16188899,○
IO,JUPITER,MOON,,421800,0.004,0,49.1,0,330.9,1.762732,,1821.49,268.05,64.5,-0.009,0.003,200.39,203.4889538,○
EUROPA,JUPITER,MOON,,671100,0.009,0.5,45,184,345.4,3.525463,,1560.8,268.08,64.51,-0.009,0.003,36.022,101.3747235,○
GANYMEDE,JUPITER,MOON,,1070400,0.001,0.2,198.3,58.5,324.8,7.155588,,2631.2,268.2,64.57,-0.009,0.003,44.064,50.3176081,○
CALLISTO,JUPITER,MOON,,1882700,0.007,0.3,43.8,309.1,87.4,16.69044,,2410.3,268.72,64.83,-0.009,0.003,259.51,21.5710715,○
AMALTHEA,JUPITER,MOON,,181400,0.003,0.4,180.1,282.9,310.6,0.499918,,83.5,268.05,64.49,-0.009,0.003,231.67,722.631456,○
THEBE,JUPITER,MOON,,221900,0.018,1.1,26.6,340.4,182.1,0.676105,,49.3,268.05,64.49,-0.009,0.003,8.56,533.70041,○
ADRASTEA,JUPITER,MOON,,129000,0,0,0,0,214.5,0.29826,,8.2,268.05,64.49,-0.009,0.003,33.29,1206.9986602,○
METIS,JUPITER,MOON,,128000,0,0,0,0,166,0.294779,,21.5,268.05,64.49,-0.009,0.003,346.09,1221.2547301,○
HIMALIA,JUPITER,MOON,,11439000,0.16,28.4,321.1,64.2,78.3,249.909,,85,,,,,,,○
ELARA,JUPITER,MOON,,11710700,0.212,27.8,129.9,112.8,346.9,258.8861,,,,,,,,,○
PASIPHAE,JUPITER,MOON,,23463200,0.412,148.3,172.8,315.7,279.3,734.4215,,,,,,,,,○
SINOPE,JUPITER,MOON,,23679300,0.262,157.3,354.3,308,157.4,744.5951,,,,,,,,,○
